,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,,2.0,,,3.0,,2.0,3.0,1.0,1.0,,3.0,1.0,,,3.0,,1.0,,,2.0,,,3.0,3.0,,1.0,,,,5.0,2.0,4.0,,,,2.0,4.0,3.0,2.0,2.0,,,,,4.0,2.0,,4.0,,,,,4.0,7.0,3.0,,,,6.0,,4.0,9.0,8.0,7.0,,,9.0,5.0,7.0,10.0,8.0,,,,7.0,,5.0,9.0,8.0,9.0,10.0,,6.0,,,7.0,6.0,9.0,10.0,,,9.0,10.0,7.0,,8.0,,8.0,
11,,1.0,1.0,1.0,,1.0,,,3.0,,,1.0,1.0,3.0,1.0,,,3.0,1.0,,,,1.0,2.0,2.0,3.0,,1.0,,5.0,,6.0,2.0,,5.0,,,,1.0,4.0,4.0,,,,4.0,,6.0,2.0,4.0,2.0,7.0,,6.0,5.0,8.0,3.0,,3.0,7.0,,5.0,9.0,,,,,,,7.0,,,9.0,,10.0,,6.0,,10.0,8.0,10.0,10.0,,10.0,8.0,6.0,6.0,8.0,10.0,8.0,,,,7.0,,,,9.0,,,7.0
12,,1.0,2.0,3.0,3.0,2.0,1.0,,,,2.0,1.0,,,,,,1.0,,1.0,4.0,4.0,,,2.0,3.0,,,,,3.0,3.0,,5.0,4.0,,1.0,3.0,4.0,,2.0,6.0,,2.0,2.0,6.0,,,,,,,4.0,,,,3.0,,6.0,6.0,5.0,8.0,8.0,,,,,,,,7.0,5.0,,,,,7.0,8.0,7.0,8.0,10.0,7.0,,,6.0,10.0,,,,,,9.0,8.0,,,7.0,,,,7.0
13,2.0,,2.0,,,,,2.0,,,,1.0,,4.0,,3.0,,,,,1.0,5.0,3.0,,,,1.0,3.0,5.0,,2.0,3.0,,2.0,4.0,,2.0,6.0,,,7.0,3.0,7.0,,3.0,,4.0,,3.0,3.0,8.0,,5.0,6.0,3.0,8.0,7.0,8.0,7.0,5.0,8.0,,,,,7.0,,,,4.0,8.0,5.0,,9.0,,6.0,7.0,,9.0,9.0,8.0,8.0,,10.0,9.0,8.0,,,,8.0,,8.0,9.0,,,,,10.0,,
14,1.0,2.0,,,2.0,1.0,2.0,3.0,1.0,,2.0,,,3.0,4.0,4.0,,,,2.0,,,1.0,,,5.0,,4.0,,1.0,6.0,2.0,,,,,,,2.0,,7.0,,4.0,7.0,5.0,7.0,,,,,,6.0,,4.0,4.0,,,,6.0,4.0,5.0,8.0,,,,4.0,,4.0,,9.0,7.0,,,5.0,10.0,,10.0,,5.0,,9.0,,,,6.0,,8.0,10.0,6.0,9.0,,10.0,,,,,,,10.0,8.0
15,3.0,2.0,,1.0,,,,,,,,1.0,,3.0,1.0,4.0,1.0,1.0,2.0,,3.0,,2.0,1.0,3.0,,3.0,,3.0,,,5.0,5.0,6.0,5.0,1.0,5.0,2.0,,6.0,6.0,,6.0,4.0,2.0,,5.0,5.0,,,3.0,,5.0,,,,3.0,3.0,4.0,,,,,5.0,,,,,9.0,,8.0,8.0,8.0,,7.0,9.0,,,6.0,5.0,10.0,10.0,7.0,,,8.0,,,,,9.0,,7.0,,9.0,,,,,
16,2.0,,2.0,2.0,,2.0,,2.0,3.0,,1.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,,,4.0,,,,3.0,2.0,4.0,,6.0,,,,3.0,1.0,,,3.0,,,5.0,,2.0,4.0,7.0,3.0,4.0,,5.0,,,7.0,,3.0,4.0,,4.0,,,,6.0,,6.0,9.0,,5.0,4.0,,9.0,5.0,6.0,,,6.0,6.0,,10.0,,9.0,6.0,9.0,10.0,,8.0,8.0,6.0,,,,10.0,,,9.0,,,,,,9.0
17,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,2.0,2.0,,1.0,,,,,3.0,,,1.0,,,,5.0,3.0,,1.0,1.0,,,3.0,6.0,2.0,,,,,3.0,5.0,5.0,7.0,3.0,,,3.0,,7.0,6.0,8.0,,7.0,4.0,7.0,4.0,7.0,5.0,,4.0,7.0,9.0,,,4.0,,,9.0,10.0,5.0,,7.0,,7.0,,,10.0,,9.0,6.0,,6.0,8.0,10.0,6.0,8.0,,,,,,10.0,,7.0,7.0,8.0,9.0,8.0
18,2.0,,,,,,,1.0,,1.0,2.0,,3.0,,,1.0,,,,,2.0,,4.0,,,,5.0,,,,1.0,2.0,,5.0,,2.0,,,6.0,,6.0,,7.0,7.0,,,5.0,,,3.0,,3.0,8.0,3.0,,8.0,,,6.0,,9.0,,7.0,,,7.0,4.0,4.0,,,,7.0,8.0,9.0,,9.0,,9.0,,7.0,,,10.0,9.0,10.0,,,,10.0,6.0,,,,,,9.0,,,9.0,7.0
19,3.0,,2.0,,3.0,2.0,2.0,1.0,,1.0,2.0,1.0,3.0,,4.0,1.0,2.0,,3.0,1.0,,,,2.0,2.0,3.0,5.0,,2.0,3.0,,6.0,,1.0,,,5.0,1.0,5.0,,,,,4.0,,,5.0,,6.0,2.0,,4.0,5.0,,3.0,,,,,3.0,9.0,5.0,5.0,9.0,,,7.0,,,5.0,7.0,10.0,,,10.0,5.0,,7.0,,,7.0,,,,9.0,8.0,,,6.0,,,9.0,7.0,,10.0,,,9.0,,9.0
20,3.0,1.0,,,1.0,1.0,,,,,,,,3.0,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,4.0,,1.0,3.0,2.0,6.0,,,3.0,5.0,5.0,,,,,,,,,7.0,,3.0,8.0,6.0,,5.0,5.0,,,7.0,6.0,,,,4.0,9.0,,4.0,,5.0,,,,9.0,,5.0,6.0,,,,,9.0,9.0,,8.0,10.0,7.0,9.0,6.0,,,9.0,9.0,10.0,,,8.0,,,,10.0,
21,1.0,,,1.0,1.0,,1.0,,3.0,,,3.0,,,,,,4.0,4.0,,1.0,5.0,3.0,,3.0,,,,5.0,,,,,1.0,,,6.0,,,,6.0,,,,,7.0,2.0,,,7.0,,,,6.0,7.0,,6.0,,,,,,5.0,,9.0,8.0,,,,,5.0,,10.0,6.0,,,,7.0,9.0,5.0,7.0,,9.0,,6.0,10.0,6.0,8.0,,,7.0,10.0,,9.0,,,9.0,,,7.0
22,2.0,,2.0,,3.0,2.0,1.0,,,,2.0,2.0,4.0,1.0,3.0,,,,4.0,1.0,3.0,,,2.0,2.0,,,2.0,,,,,,,,,4.0,,1.0,,6.0,,2.0,,3.0,5.0,,3.0,,6.0,6.0,5.0,,4.0,,,,6.0,5.0,6.0,7.0,,8.0,4.0,4.0,9.0,,5.0,,5.0,,,,7.0,,,,,,7.0,,,8.0,,7.0,6.0,10.0,,10.0,7.0,10.0,,,,8.0,,8.0,,,
23,,,1.0,1.0,,1.0,,,3.0,,,3.0,,4.0,,,,,3.0,,4.0,,1.0,3.0,,3.0,2.0,3.0,2.0,,3.0,,6.0,,6.0,3.0,3.0,,,4.0,7.0,,3.0,,6.0,4.0,6.0,,6.0,2.0,,8.0,,,,,,,,5.0,,,,,,8.0,8.0,7.0,,,5.0,9.0,,7.0,9.0,10.0,,10.0,,5.0,10.0,9.0,10.0,10.0,,9.0,8.0,9.0,9.0,6.0,9.0,,9.0,,10.0,7.0,,8.0,7.0,7.0
24,2.0,2.0,,2.0,,2.0,2.0,1.0,,2.0,1.0,1.0,3.0,4.0,1.0,,,4.0,4.0,2.0,,,,3.0,5.0,5.0,,,,,,,,2.0,4.0,,,2.0,,,4.0,,,,,4.0,5.0,7.0,,,6.0,,3.0,,3.0,4.0,,5.0,6.0,,6.0,6.0,,,,4.0,,,4.0,5.0,,,,,8.0,,10.0,,5.0,,6.0,,,,9.0,9.0,,,6.0,,8.0,7.0,,,,10.0,,,,10.0
25,,,,,,,,3.0,,,2.0,4.0,1.0,1.0,2.0,,1.0,,2.0,4.0,,,1.0,1.0,5.0,,,,1.0,3.0,6.0,,,,4.0,,1.0,,2.0,5.0,,,,2.0,4.0,7.0,6.0,,,,3.0,,4.0,3.0,3.0,,,8.0,6.0,6.0,7.0,9.0,5.0,,,8.0,4.0,,,,,6.0,9.0,,8.0,,10.0,,10.0,6.0,8.0,,,,,,,,7.0,,10.0,,9.0,7.0,7.0,,9.0,10.0,9.0,
26,,2.0,,1.0,3.0,,1.0,3.0,,,4.0,2.0,1.0,3.0,3.0,,,,4.0,,,,4.0,,,1.0,,,,1.0,6.0,,4.0,3.0,,,,,5.0,5.0,,,,,4.0,,,,6.0,6.0,8.0,4.0,,8.0,,,5.0,,3.0,,8.0,6.0,7.0,,,,5.0,4.0,7.0,7.0,,9.0,6.0,10.0,10.0,8.0,,8.0,6.0,6.0,,8.0,,,,6.0,8.0,9.0,,9.0,8.0,9.0,,8.0,,10.0,9.0,8.0,,
27,,,,2.0,,,3.0,2.0,,2.0,,2.0,,,2.0,4.0,4.0,,4.0,1.0,1.0,,3.0,,5.0,,1.0,,,,5.0,,,2.0,,,1.0,,4.0,5.0,,4.0,5.0,7.0,,2.0,,6.0,4.0,4.0,3.0,6.0,4.0,4.0,8.0,4.0,7.0,,7.0,5.0,9.0,,,6.0,6.0,,4.0,6.0,5.0,,,9.0,,8.0,9.0,,9.0,,,9.0,9.0,7.0,10.0,6.0,,,,10.0,,,7.0,8.0,8.0,8.0,,7.0,7.0,,8.0,
28,1.0,,,,,1.0,1.0,,2.0,,2.0,,,4.0,,4.0,2.0,,,,,2.0,2.0,2.0,2.0,5.0,,2.0,1.0,3.0,,,3.0,,3.0,4.0,6.0,3.0,,1.0,6.0,7.0,6.0,2.0,,,5.0,3.0,,,,4.0,,,,,,3.0,,4.0,4.0,,,,9.0,,9.0,,,,,,,,,,,,7.0,,,,,7.0,,9.0,,,,8.0,,7.0,7.0,,,8.0,,,9.0,9.0
29,2.0,,,,1.0,3.0,,2.0,2.0,,,,1.0,1.0,,,1.0,,1.0,,,,4.0,,,,4.0,5.0,,5.0,5.0,,,2.0,1.0,,,2.0,1.0,4.0,4.0,5.0,,7.0,3.0,,4.0,2.0,7.0,2.0,,,6.0,,5.0,,,,,,4.0,6.0,4.0,4.0,,9.0,9.0,,4.0,5.0,,7.0,,10.0,,,,7.0,7.0,6.0,8.0,6.0,,6.0,10.0,,,,10.0,,8.0,,,9.0,,,,,7.0,
30,,,2.0,1.0,,2.0,,1.0,2.0,,,1.0,,3.0,4.0,2.0,,3.0,1.0,4.0,5.0,,2.0,,4.0,2.0,,5.0,3.0,,5.0,,6.0,1.0,5.0,,,6.0,,4.0,3.0,5.0,,7.0,4.0,,4.0,4.0,2.0,,4.0,3.0,4.0,4.0,4.0,8.0,,,,,,9.0,8.0,,6.0,,,6.0,,,,7.0,,5.0,,10.0,8.0,,,6.0,,9.0,10.0,,,6.0,9.0,8.0,6.0,,7.0,,,,8.0,,7.0,9.0,,9.0
31,,,,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,,,1.0,,,2.0,1.0,3.0,,,5.0,,3.0,5.0,3.0,,5.0,,4.0,,,2.0,1.0,1.0,,4.0,3.0,,5.0,,5.0,,3.0,,7.0,4.0,7.0,4.0,,3.0,5.0,,7.0,4.0,5.0,7.0,,,,7.0,,8.0,,,,,7.0,,6.0,,,6.0,6.0,9.0,,6.0,10.0,7.0,7.0,8.0,9.0,8.0,10.0,6.0,6.0,8.0,7.0,,,7.0,8.0,9.0,,10.0,,,10.0,7.0,
32,2.0,3.0,,,,,2.0,2.0,,3.0,4.0,,1.0,1.0,2.0,4.0,2.0,1.0,2.0,,1.0,5.0,5.0,,2.0,4.0,1.0,,,,,5.0,4.0,5.0,,3.0,2.0,,,,4.0,3.0,,5.0,4.0,6.0,6.0,4.0,,6.0,,6.0,3.0,6.0,8.0,,,,7.0,,9.0,,,,,8.0,8.0,,,5.0,,8.0,,,,,5.0,5.0,10.0,8.0,,10.0,,10.0,6.0,6.0,9.0,6.0,,9.0,,,,,10.0,,,8.0,,9.0
33,,,,1.0,,2.0,1.0,,,,1.0,,2.0,1.0,,3.0,,2.0,,1.0,3.0,2.0,3.0,3.0,,,4.0,,,,,,1.0,,5.0,,4.0,5.0,,,7.0,,7.0,,,,5.0,,,,,7.0,,7.0,,5.0,7.0,,5.0,4.0,7.0,8.0,7.0,7.0,,,4.0,7.0,7.0,9.0,5.0,,8.0,,,,6.0,6.0,,,,,7.0,10.0,,7.0,,7.0,,7.0,10.0,10.0,,,,9.0,,8.0,,8.0
34,3.0,,,1.0,,2.0,3.0,,2.0,,,,,,2.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,,2.0,4.0,3.0,2.0,3.0,,,,,1.0,4.0,2.0,5.0,6.0,,,,5.0,2.0,,2.0,,,2.0,2.0,,,3.0,,4.0,6.0,4.0,7.0,8.0,,,7.0,,,,,,,,,9.0,,,7.0,,6.0,,9.0,9.0,,,8.0,6.0,10.0,6.0,,,,9.0,,,10.0,9.0,,,,,,,
35,,,,,2.0,,,,3.0,2.0,1.0,,,,,,4.0,1.0,,1.0,,,,2.0,5.0,,,4.0,,,,4.0,,6.0,,,6.0,6.0,,4.0,,,,,,5.0,7.0,6.0,,,,,8.0,8.0,,5.0,,,6.0,3.0,,,9.0,,,,,7.0,,8.0,,,,8.0,8.0,6.0,,10.0,,,8.0,7.0,,10.0,,7.0,6.0,,,,,,10.0,8.0,,8.0,,7.0,,
36,2.0,,2.0,1.0,2.0,2.0,,,,1.0,,,1.0,4.0,4.0,1.0,3.0,,,,,,1.0,3.0,2.0,2.0,,,5.0,,2.0,,3.0,1.0,,,,,2.0,2.0,3.0,,6.0,,3.0,,5.0,,6.0,4.0,,8.0,,4.0,,7.0,6.0,5.0,4.0,,6.0,9.0,8.0,7.0,,,,9.0,7.0,4.0,,10.0,,,,,5.0,,,9.0,,,,10.0,,7.0,,,,10.0,7.0,,,8.0,10.0,10.0,,9.0,7.0,8.0
37,,3.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,,3.0,,,,3.0,4.0,,2.0,,1.0,,3.0,,3.0,,,,,,,,2.0,,,6.0,,,4.0,2.0,2.0,,,,,,,6.0,7.0,6.0,3.0,,,,8.0,8.0,,5.0,8.0,7.0,,,6.0,7.0,,,5.0,5.0,10.0,10.0,9.0,10.0,,6.0,8.0,,8.0,5.0,9.0,,,,,10.0,7.0,7.0,,7.0,10.0,10.0,,7.0,10.0,9.0,,,,7.0
38,,,,1.0,2.0,,3.0,,,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,,4.0,1.0,,,,2.0,,4.0,,,4.0,,,6.0,,5.0,,5.0,6.0,5.0,,3.0,,,3.0,4.0,3.0,,,7.0,6.0,3.0,6.0,3.0,,,4.0,8.0,,,8.0,,9.0,6.0,,,,,9.0,,7.0,,,,,6.0,6.0,,,10.0,6.0,,,,,,,,,6.0,7.0,7.0,,,7.0,,7.0,,8.0,,,
39,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,4.0,,,,,,,1.0,1.0,1.0,,,4.0,2.0,,,,5.0,5.0,5.0,5.0,,1.0,,3.0,6.0,4.0,6.0,,,,3.0,3.0,,,4.0,,,6.0,7.0,,6.0,,,,,4.0,3.0,5.0,,4.0,6.0,9.0,9.0,4.0,,4.0,,5.0,10.0,9.0,10.0,6.0,,,6.0,10.0,9.0,9.0,9.0,7.0,,,6.0,,9.0,,,7.0,,,,9.0,,,,9.0,9.0,8.0
40,,,1.0,,,1.0,,1.0,,1.0,,3.0,2.0,2.0,4.0,2.0,4.0,,,2.0,,,,,5.0,,4.0,5.0,,,,,3.0,,,,,,,,,,,,6.0,,,,7.0,,7.0,3.0,4.0,,7.0,,,,,,,4.0,8.0,7.0,,9.0,6.0,,4.0,,10.0,7.0,,,7.0,10.0,7.0,,,8.0,,10.0,8.0,7.0,8.0,,6.0,7.0,,9.0,,,7.0,10.0,9.0,,,10.0,,9.0
41,,,3.0,2.0,,,3.0,,,,,4.0,,,,3.0,,,3.0,,3.0,,,5.0,,5.0,1.0,3.0,5.0,,,,6.0,,4.0,,4.0,,6.0,,,,,6.0,2.0,7.0,,,,6.0,,3.0,,6.0,,,3.0,,3.0,3.0,,6.0,,8.0,4.0,,,9.0,8.0,6.0,,8.0,8.0,6.0,,5.0,9.0,,,7.0,7.0,6.0,,,,8.0,10.0,7.0,,10.0,10.0,,,,,,,7.0,,
42,3.0,1.0,,,1.0,2.0,,1.0,,3.0,,,,,1.0,,4.0,,1.0,,,4.0,,,,4.0,4.0,,,,4.0,,,,4.0,,,,,2.0,3.0,,,,,6.0,3.0,5.0,5.0,,5.0,,4.0,7.0,6.0,7.0,7.0,,4.0,6.0,,,,,,,,6.0,9.0,,5.0,,9.0,,,10.0,6.0,9.0,,10.0,7.0,8.0,,,,,,,10.0,7.0,7.0,,,8.0,,,,10.0,8.0,7.0
43,1.0,,,,,,,,3.0,1.0,,3.0,1.0,1.0,2.0,,,,2.0,2.0,3.0,3.0,,,2.0,,,,1.0,3.0,6.0,,,3.0,5.0,5.0,1.0,5.0,,,7.0,,5.0,,5.0,5.0,,2.0,,7.0,,,5.0,3.0,3.0,6.0,6.0,6.0,,,5.0,,,7.0,6.0,,,,7.0,,10.0,,7.0,5.0,,,6.0,8.0,,,,,,10.0,,9.0,9.0,9.0,,,,,7.0,9.0,,7.0,8.0,8.0,7.0,9.0
44,,1.0,2.0,,2.0,1.0,,,,3.0,,1.0,1.0,4.0,,,,1.0,,,,,,1.0,1.0,3.0,1.0,2.0,,,,,,6.0,3.0,,,,,1.0,3.0,,6.0,7.0,2.0,,3.0,2.0,,,4.0,,6.0,6.0,8.0,,,4.0,5.0,,6.0,9.0,,4.0,,,,5.0,,7.0,,5.0,,,7.0,,10.0,,,,,,7.0,8.0,7.0,7.0,,8.0,,,,,,7.0,7.0,,,,9.0,
45,,1.0,3.0,,1.0,,,,3.0,3.0,,,,,2.0,3.0,1.0,1.0,1.0,,2.0,,,3.0,,1.0,1.0,,3.0,5.0,,,2.0,3.0,,1.0,,,6.0,,,,,,,,,,6.0,,8.0,,,6.0,,5.0,7.0,6.0,,4.0,6.0,,7.0,4.0,,,7.0,4.0,5.0,8.0,,7.0,6.0,6.0,10.0,,,,9.0,6.0,7.0,10.0,6.0,,,8.0,6.0,6.0,10.0,,7.0,,,10.0,7.0,,,,,
46,2.0,2.0,,,,1.0,,,2.0,,4.0,3.0,,2.0,1.0,1.0,,1.0,,,5.0,5.0,,2.0,,2.0,4.0,3.0,,,3.0,,,,3.0,4.0,5.0,1.0,,,7.0,4.0,,,5.0,5.0,,3.0,4.0,5.0,7.0,,,5.0,4.0,5.0,3.0,4.0,,,6.0,9.0,,7.0,8.0,,,,4.0,,6.0,,9.0,,10.0,5.0,7.0,7.0,5.0,6.0,,8.0,6.0,8.0,7.0,,,,6.0,7.0,,,7.0,8.0,10.0,10.0,9.0,10.0,8.0,7.0
47,,,1.0,,3.0,1.0,,,,,1.0,,,1.0,3.0,,4.0,2.0,1.0,,2.0,,1.0,,1.0,,2.0,,,5.0,,5.0,,,,3.0,3.0,,5.0,,,4.0,,,,,,3.0,5.0,6.0,4.0,7.0,,,6.0,,,,,7.0,,8.0,,7.0,,,4.0,4.0,,9.0,,,,,7.0,,6.0,,7.0,,,8.0,,,10.0,8.0,,,9.0,,8.0,7.0,9.0,,,8.0,9.0,,,9.0
48,,3.0,2.0,2.0,,,1.0,,,1.0,3.0,,,,,,1.0,4.0,3.0,2.0,1.0,,5.0,5.0,1.0,,4.0,,3.0,,5.0,3.0,3.0,,,3.0,,3.0,3.0,2.0,6.0,,,,7.0,,4.0,4.0,3.0,5.0,,5.0,,,5.0,8.0,7.0,3.0,4.0,,,,5.0,7.0,,9.0,8.0,,,7.0,5.0,5.0,6.0,,,8.0,,,8.0,10.0,9.0,8.0,,8.0,,,7.0,6.0,6.0,,,9.0,10.0,9.0,,10.0,7.0,7.0,10.0,
49,1.0,2.0,,,2.0,3.0,,,,1.0,1.0,,,,3.0,,2.0,1.0,,,3.0,,,1.0,2.0,1.0,3.0,,,,,1.0,,,,,4.0,,1.0,,,,5.0,5.0,5.0,5.0,,6.0,3.0,,,6.0,,5.0,,7.0,8.0,4.0,4.0,5.0,,,,,7.0,6.0,,7.0,,7.0,9.0,8.0,,,6.0,,,10.0,,,,6.0,10.0,6.0,10.0,,,,6.0,6.0,,7.0,,,,9.0,10.0,7.0,,8.0
50,,1.0,3.0,2.0,2.0,2.0,,,,1.0,,4.0,4.0,2.0,1.0,,,,3.0,,2.0,4.0,1.0,,5.0,,5.0,,1.0,1.0,,6.0,2.0,,,,2.0,2.0,,,,,5.0,,5.0,,4.0,4.0,4.0,6.0,,,6.0,,5.0,,7.0,4.0,,4.0,8.0,4.0,,7.0,,7.0,5.0,,,,5.0,,7.0,5.0,,7.0,,7.0,5.0,,,,8.0,10.0,9.0,,9.0,6.0,10.0,,,,,,10.0,10.0,9.0,9.0,,9.0
51,2.0,1.0,1.0,,,1.0,,1.0,,2.0,2.0,,,,,1.0,1.0,2.0,2.0,,,,4.0,4.0,,,5.0,,,4.0,4.0,,,,2.0,,1.0,,5.0,3.0,7.0,4.0,4.0,,4.0,,,3.0,,,,6.0,4.0,,,,,,6.0,8.0,7.0,9.0,6.0,,,,5.0,7.0,,7.0,6.0,9.0,8.0,,10.0,,7.0,,7.0,8.0,,10.0,,8.0,,,6.0,,6.0,,,10.0,8.0,10.0,,10.0,,,,
52,2.0,1.0,2.0,2.0,2.0,,,,2.0,1.0,4.0,,1.0,,2.0,3.0,2.0,1.0,,,,,3.0,2.0,5.0,3.0,4.0,,,,2.0,,,6.0,3.0,,1.0,,3.0,3.0,,,,,,4.0,,,,4.0,6.0,8.0,4.0,,7.0,5.0,3.0,,,,,,9.0,5.0,8.0,,,,,7.0,,,9.0,,,,10.0,5.0,,,,9.0,,8.0,9.0,8.0,,,,,,,,,9.0,8.0,10.0,8.0,,10.0
